"ID","Tesis Adı","Kategori","Enlem","Boylam","Kritiklik","Durum","Kaynak","Etiket","Tahmini_Alan_km2","Detayli_Stratejik_Aciklama"
"1","Kıbrıs - Akrotiri RAF Üssü 84. Destek Filosu","hava","34.5877","32.986","KRITIK","Aktif","NATO Dokümanı","KRITIK","12.7","İngiliz Kraliyet Hava Kuvvetleri 84. Destek Filosu ana konuşlanma üssü. Typhoon FGR4 hava savunma uçakları, P-8A Poseidon denizaltı avcısı, Voyager tanker ve RC-135W Rivet Joint elektronik istihbarat uçağı burada konuşlu. 4,000+ personel. 2026 İran krizi sürecinde bölge operasyonlarının merkezi."
"2","Kıbrıs - Dhekelia Garnizon Ayios Nikolaos ELINT İstasyonu","radar","34.9833","33.75","KRITIK","Aktif","NATO Dokümanı","KRITIK","6.3","İkinci İngiliz Egemen Üs Bölgesi. GCHQ Ayios Nikolaos SIGINT/ELINT istasyonu burada. ECHELON ağının kritik Doğu Akdeniz düğümü. Doğu Akdeniz, Türkiye, Suriye ve Mısır iletişimlerini dinler."
"3","Kıbrıs - Troodos GCHQ/NSA SIGINT Ortak İstasyonu","radar","34.919","32.878","KRITIK","Gizli","NATO Dokümanı","KRITIK","1.2","Troodos Dağı zirvesinde GCHQ-NSA ortak SIGINT dinleme merkezi. Tüm Orta Doğu, Karadeniz ve Doğu Akdeniz iletişimlerini kapsıyor. İran nükleer programı ve balistik füze iletişimlerinin izlendiği birincil nokta."
"4","Kıbrıs - Larnaka Uluslararası Havalimanı LCLK","hava","34.874","33.6248","KRITIK","Aktif","Açık Kaynak","KRITIK","7.8","ICAO: LCLK / IATA: LCA. Yıllık ~9 milyon yolcu. Kriz anında NATO tahliye operasyonları için dönüştürülecek birincil sivil havalimanı. 3,050m pist F-15/F-16 tipi uçaklar için uygun."
"5","Kıbrıs - Baf Uluslararası Havalimanı LCPH","hava","34.7179","32.4857","YÜKSEK","Aktif","Açık Kaynak","ÖNCELİKLİ","5.3","ICAO: LCPH / IATA: PFO. Akrotiri RAF Üssü'ne 8 km. 2,700m pist. NATO hava operasyonlarında ikincil yük aktarım noktası olarak kullanılabilir."
"6","Kıbrıs - Limassol Ana Ticaret Limanı","liman","34.6712","33.0456","KRITIK","Aktif","Açık Kaynak","KRITIK","3.4","Kıbrıs'ın en büyük limanı. Yıllık 800,000+ TEU kapasitesi. Gemi yakıt ikmali merkezi. Düşman deniz ablukasında birincil hedef. Limana giriş kanalı sualtı engel sistemi gerektiriyor."
"7","Kıbrıs - Larnaka Serbest Ticaret Limanı","liman","34.905","33.638","YÜKSEK","Aktif","Açık Kaynak","ÖNCELİKLİ","2.1","Abluka durumunda ikmal hattına dönüşecek ikincil liman. Mayın tarama ekibi ve hızlı savunma planı zorunludur."
"8","Kıbrıs - Kıbrıs Deniz Kuvvetleri Üssü Yermasoyia Limassol","liman","34.6534","33.0312","KRITIK","Aktif","Açık Kaynak","KRITIK","2.8","GEEF Deniz Kuvvetleri'nin tek deniz üssü. SA-N füze hücum tekneleri, sahil gözetleme radar sistemi ve deniz mayını imha birimleri burada konuşlu."
"9","Kıbrıs - Cape Greco Hava Savunma Radar Tesisi","radar","34.9597","34.0833","KRITIK","Aktif","Uydu Görüntüsü","KRITIK","0.5","Doğu Akdeniz ve Kıbrıs hava sahasını tarayan AN/TPS-70 radar sistemi. Suriye ve Lübnan sahillerini izler. Çökmesi ada hava savunmasında kör nokta yaratır."
"10","Kıbrıs - Vasilikos Elektrik Üretim Tesisi 450MW","enerji","34.7089","33.3156","KRITIK","Aktif","Açık Kaynak","KRITIK","2.4","Güney Kıbrıs ana enerji üretim tesisi, 450MW kurulu güç. 2011'de deniz mayını patlamasından zarar görmüştü. Çökmesi tüm güney adayı karartır."
"11","Kıbrıs - Moni Liman Enerji Santrali 300MW","enerji","34.6921","32.8734","KRITIK","Aktif","Açık Kaynak","KRITIK","1.8","Batı Kıbrıs ve Baf bölgesinin birincil güç kaynağı. Kıyıya 200m mesafe deniz saldırısına açık. MANPAD ve sahil gözetleme sistemi zorunludur."
"12","Kıbrıs - Dhekelia Termik Enerji Santrali","enerji","34.9834","33.75","KRITIK","Aktif","Hükümet Verisi","KRITIK","1.2","Doğu Kıbrıs ve İngiliz Egemen Bölgesi elektrik besleme tesisi. İngiliz askeri tesislerinin enerji bağımlılığı kritik öncelik."
"13","Kıbrıs - Limassol LNG Deniz Terminali","enerji","34.6523","33.0456","KRITIK","İnşaat","Uydu Görüntüsü","KRITIK","0.8","Inşaat halinde LNG depolama ve gazlaştırma terminali. Tamamlandığında Kıbrıs'ın enerji bağımsızlığı açısından kritik. Yüksek patlama riski."
"14","Kıbrıs - Kouris Barajı Ana Rezervuar","enerji","34.7634","32.9023","KRITIK","Aktif","Açık Kaynak","KRITIK","12.3","Kıbrıs'ın en büyük su rezervuarı, 115 milyon m³ kapasiteli. Kimyasal veya biyolojik saldırı ada genelinde halk sağlığı krizine yol açar."
"15","Kıbrıs - Lefkoşa CYTA Ulusal Telekom Merkezi","radar","35.1712","33.3634","YÜKSEK","Aktif","Açık Kaynak","ÖNCELİKLİ","0.2","Cyprus Telecommunications Authority merkezi operasyon binası. Siber saldırı tüm ulusal iletişimi durdurabilir. Yedek uydu hattı zorunludur."
"16","Kıbrıs - Limassol SEA-ME-WE Kablo Kıyı İstasyonu","radar","34.6823","33.0534","YÜKSEK","Aktif","Açık Kaynak","ÖNCELİKLİ","0.1","SEA-ME-WE 3 ve CADMOS denizaltı kablolarının Kıbrıs kıyı bağlantı istasyonu. Fiziksel sabotaj Kıbrıs'ı Avrupa internet omurgasından koparabilir."
